movie_id,n_cuts,n_pos,pos_rate,v0,v1_5,v2,v2_gain_over_v1_5,v1_5_gain_over_v0
tt2024544,716,105,0.14664804469273743,0.5917275585564181,0.5966904938071217,0.7410431174851978,0.1443526236780761,0.004962935250703571
tt0103776,1770,100,0.05649717514124294,0.30639560190954906,0.3189155865002467,0.46174526406755656,0.14282967756730985,0.012519984590697641
tt0086190,2158,108,0.05004633920296571,0.27823854376210383,0.3257214045502615,0.4653661382611451,0.1396447337108836,0.047482860788157666
tt0361748,1444,50,0.03462603878116344,0.17140203945037763,0.19439767216862003,0.3199211321608781,0.12552345999225806,0.022995632718242398
tt0822832,1532,141,0.09203655352480418,0.43688313772741316,0.49703466520189643,0.6074521533953338,0.11041748819343733,0.06015152747448327
tt1707386,2538,217,0.08550039401103231,0.31987294680108197,0.3224832003370241,0.4323490501547283,0.1098658498177042,0.002610253535942131
tt0112573,3074,138,0.044892648015614836,0.2476834662278756,0.3443029410952641,0.45338145964416865,0.10907851854890455,0.0966194748673885
tt0117060,1517,246,0.16216216216216217,0.40973631386002746,0.43502765529142434,0.5405824649799557,0.10555480968853131,0.025291341431396885
tt0113277,1975,168,0.08506329113924051,0.3611320049505992,0.39936759878255684,0.5026638141627856,0.10329621538022876,0.038235593831957626
tt0281358,1169,66,0.05645851154833191,0.36043722550783647,0.4344036346782258,0.5376883581910896,0.10328472351286383,0.07396640917038932
tt0052357,1052,45,0.04277566539923954,0.3252358492118797,0.38663329932989604,0.485274554148645,0.09864125481874897,0.06139745011801634
tt0253474,1195,129,0.10794979079497909,0.32037413798850206,0.3591787382634102,0.4578008753318237,0.0986221370684135,0.03880460027490812
tt0115759,2014,185,0.09185700099304867,0.3367878803036362,0.38295760970340637,0.48134939250819003,0.09839178280478367,0.046169729399770154
tt1205489,1372,122,0.08892128279883382,0.503252604887851,0.46658874315626564,0.5608746128710679,0.09428586971480224,-0.03666386173158531
tt0118715,1063,48,0.045155221072436504,0.4376185138652557,0.5277192147833358,0.6208515614140016,0.09313234663066572,0.09010070091808015
tt0976051,1282,130,0.10140405616224649,0.6006256804901077,0.6273142739894416,0.7150102224882193,0.08769594849877771,0.026688593499333946
tt0319061,1811,129,0.07123136388735506,0.4604257483026923,0.5574075681354043,0.6444449243772415,0.08703735624183728,0.09698181983271198
tt0114746,1289,132,0.10240496508921644,0.2817273741772539,0.301571735745383,0.3882769991768142,0.0867052634314312,0.019844361568129076
tt0100405,1126,64,0.056838365896980464,0.44359173508063166,0.45074138601997493,0.5350836017768338,0.08434221575685885,0.007149650939343277
tt2488496,2386,124,0.051969823973176864,0.386900024008648,0.38114395066892764,0.4623662776839533,0.08122232701502563,-0.005756073339720336
tt0099423,2403,163,0.06783187682064086,0.3461066123343451,0.37192966514753745,0.4479301516628886,0.07600048651535113,0.02582305281319236
tt0190332,1627,91,0.055931161647203444,0.4187615969261477,0.4330327319016954,0.5081349144104141,0.07510218250871875,0.014271134975547717
tt0096320,1124,100,0.08896797153024912,0.48445953712192685,0.550324343655021,0.6219379561473826,0.07161361249236153,0.06586480653309418
tt0217505,1782,84,0.04713804713804714,0.21136502628044382,0.27827377785880225,0.3456440723148004,0.06737029445599813,0.06690875157835843
tt0082089,600,86,0.14333333333333334,0.6446518455786325,0.7199818074000642,0.7826692076695435,0.06268740026947928,0.0753299618214317
tt0440963,2748,297,0.10807860262008734,0.41707807335711755,0.5134199816709754,0.5758158663076423,0.0623958846366669,0.0963419083138578
tt1375666,2599,254,0.09772989611388996,0.3347699765824391,0.3691273958612468,0.431447502511162,0.06232010664991516,0.0343574192788077
tt0092099,1865,139,0.07453083109919571,0.4046131587622924,0.5397784502611059,0.6012548749254892,0.0614764246643833,0.1351652914988135
tt0780571,1351,76,0.056254626202812734,0.48443649655760557,0.5247697096500076,0.5840295531473764,0.05925984349736879,0.04033321309240201
tt0088247,1845,43,0.023306233062330622,0.1432534827956422,0.21366066212213256,0.27088006993756425,0.057219407815431694,0.07040717932649035
tt0107290,1318,147,0.11153262518968134,0.45083694628199705,0.46538143542220595,0.5183800372305412,0.05299860180833521,0.014544489140208894
tt0119488,1768,50,0.02828054298642534,0.2606887815711202,0.2719931792234211,0.32488939244045656,0.05289621321703547,0.011304397652300902
tt0443272,902,75,0.08314855875831485,0.5105411586488883,0.5553022132828777,0.6076119677560744,0.052309754473196746,0.04476105463398938
tt0479884,1795,141,0.07855153203342619,0.3141800965163447,0.3101975818029045,0.36197299431455965,0.05177541251165513,-0.003982514713440188
tt1099212,1749,138,0.07890222984562607,0.42328335154628355,0.5365116477644581,0.5871370377438337,0.0506253899793756,0.1132282962181746
tt1412386,1468,194,0.13215258855585832,0.6050802663503456,0.6301338225970485,0.6794749257833607,0.04934110318631213,0.025053556246702913
tt0068646,1223,171,0.13982011447260834,0.6302151855014663,0.6914663440479765,0.7402894025598492,0.04882305851187274,0.0612511585465102
tt2582846,1868,141,0.07548179871520343,0.44125306738045406,0.5766116553087722,0.6219361176522634,0.04532446234349119,0.13535858792831817
tt0124315,1173,141,0.12020460358056266,0.5749081317332864,0.6576630123532072,0.6981991940680928,0.0405361817148856,0.08275488061992087
tt0110604,1760,88,0.05,0.2538695742675991,0.2859893691760312,0.3248466052469747,0.03885723607094349,0.03211979490843209
tt1119646,1800,107,0.059444444444444446,0.3635346558694739,0.4412422122802693,0.47657109503754214,0.03532888275727286,0.07770755641079535
tt0163025,1465,68,0.04641638225255973,0.3094449320387912,0.37429757472012276,0.40876614773617165,0.03446857301604889,0.06485264268133156
tt0120890,1136,98,0.08626760563380281,0.5868595319509983,0.6391920080082933,0.6647787635172003,0.02558675550890699,0.052332476057295074
tt0123755,1057,27,0.02554399243140965,0.11459926969563108,0.08054644369729615,0.10495848120132514,0.024412037504028997,-0.03405282599833494
tt0172495,2602,131,0.050345887778631825,0.28880431011643015,0.32206141688068046,0.3445904510023379,0.022529034121657465,0.03325710676425031
tt0108399,1934,112,0.057911065149948295,0.299704461493616,0.3867083210426629,0.40777665956599773,0.02106833852333484,0.08700385954904688
tt0116922,1183,42,0.03550295857988166,0.20200055199968991,0.2548386333096799,0.2746371827991153,0.019798549489435435,0.05283808130998996
tt0379786,2118,51,0.024079320113314446,0.22313219532414486,0.25390917077227604,0.2722152187587262,0.018306047986450136,0.030776975448131183
tt1001508,1183,90,0.0760777683854607,0.552601187080576,0.6046580558646645,0.6201158773360809,0.015457821471416389,0.05205686878408844
tt0137523,2328,188,0.08075601374570447,0.42762070058494966,0.47901743365199256,0.4936950367266771,0.01467760307468452,0.0513967330670429
tt1038919,1998,92,0.04604604604604605,0.32822593442788844,0.45167530756024094,0.4655024515960368,0.01382714403579588,0.12344937313235249
tt0178868,663,80,0.12066365007541478,0.42690858573152074,0.4907004372169723,0.5035678675414278,0.012867430324455476,0.06379185148545158
tt0116282,743,54,0.07267833109017496,0.537345889974141,0.6393912033451752,0.6490461003010188,0.00965489695584365,0.10204531337103417
tt0409459,2738,167,0.06099342585829072,0.3230101303473391,0.35924194331995923,0.36784130837850787,0.008599365058548636,0.036231812972620125
tt0399201,2693,165,0.061269959153360566,0.29621871303213587,0.34206998480234246,0.34888980028680183,0.006819815484459368,0.04585127177020659
tt0063442,1141,34,0.029798422436459245,0.16622804061761198,0.20875217201586568,0.2109224685784302,0.002170296562564511,0.0425241313982537
tt0078788,1576,94,0.05964467005076142,0.24534581294712424,0.24448415487365235,0.2391495921301321,-0.00533456274352026,-0.0008616580734718826
tt0073195,1232,90,0.07305194805194805,0.41145077393519225,0.4461560335332552,0.4392449538601084,-0.006911079673146803,0.034705259598062976
tt0120689,2379,116,0.0487599831862127,0.2923189931983876,0.3177533198629718,0.3072722757023281,-0.01048104416064366,0.025434326664584173
tt0120382,1384,95,0.06864161849710983,0.3493631039491196,0.4266188407838332,0.41394570613621273,-0.012673134647620488,0.0772557368347136
